WO,Machine_categori,Machine_description,Instruction,Short_description,Technicians_description,Spareparts,Costumer_mistake_mads,Invoiced
WO046844,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,"indmeldt 20811853 der fosser vand ud af maskinen når den er tændt De har slukket for den indtil vi har været forbi Thermoplan connect har også registreret en ""Status manager error 9"" Opdatering Kristinna har næsten gennemført rengøringsprogram Ved afslutning melder den at beholder i køleskab skal tages ud Den kommer ikke videre her fra ","indmeldt 20811853 der fosser vand ud af maskinen når den er tændt De har slukket for den indtil vi har været forbi Thermoplan connect har også registreret en ""Status manager error 9""Opdatering Kristinna har næsten gennemført rengøringsprogram Ved afslutning melder den at beholder i køleskab skal tages ud Den kommer ikke videre her fra",Fra TC MilkModule Mainboard Milk2NTC index 7 Resistance of 13916200 0 Ohms is greater or equal than 73000 0 Ohms thermistor open calculated from analog values 4093 4095,127140,Nej,Nej
WO046817,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Kaffe smager periodisk ikke godt af Blyant Har forsøgt med rens og udskiftning af bønner ,Kaffe smager periodisk ikke godt af Blyant Har forsøgt med rens og udskiftning af bønner,,104358,Måske,Nej
WO046857,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Lækker vand bagpå maskine Ligner det kom er fra rør har lukket for vandet ,Lækker vand bagpå maskine Ligner det kom er fra rør har lukket for vandet,SOH 19 8 24 Vandslange er taget fra restlager ,,Nej,Nej
WO046824,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Gerne besøg om formiddagen efter kl 8 30 Under rens kommer der meget vand i grumsepanden og der er klumper i mælkedrikke Har rengjort mælkeslange flere gange men der ikke d til at blive ordenligt rent ,Gerne besøg om formiddagen efter kl830 Under rens kommer der meget vand i grumsepanden og der er klumper i mælkedrikke Har rengjort mælkeslange flere gange men der ikke d til at blive ordenligt rent,Gitte vil meget gerne forklare ved besøg og hun er der om formiddagen ,104818,Nej,Nej
WO046753,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Lækker vand ud under maskine Ligner at slange er knækket af Muligvis afløbsslange til spildbakke ,Lækker vand ud under maskine Ligner at slange er knækket af Muligvis afløbsslange til spildbakke,,128896,Måske,Nej
WO046699,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer vand ud under maskine forrest venstre side Har haft spildbakke af og på men ligner ikke det er fra afløb af spildbakke ,Kommer vand ud under maskine forrest venstre side Har haft spildbakke af og på men ligner ikke det er fra afløb af spildbakke,rem taget fra mekaniske modul der skal retur fra morsgård museum ,127140,Nej,Nej
WO046751,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Vil ikke registrere røde rensenøgle Pind ser knækket ud ,Vil ikke registrere røde rensenøgle Pind ser knækket ud,,133555,Ja,Ja
WO046668,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Lækker vand ud over det hele,Lækker vand ud over det hele,Meldt ind af Kontra ,126285R,Nej,Nej
WO046691,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Tages snarest muligt kritisk for kunden Maskinen slår stadigt sikringen og der er stadigt meget vand i grumseskuffen ,Tages snarest muligt kritisk for kunden Maskinen slår stadigt sikringen og der er stadigt meget vand i grumseskuffen,ASA Modul 100018702B var oprettet i forvejen Flyttet modul anden maskine til denne i FS og henvist til denne WO på tidslinjen Brygmodul 100019402B udtages manuelt i Field Service og føres på værksted og der oprettes WO ,,Nej,Nej
WO046746,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kommer ikke nok mælk i mælkedrikke Har rengjort maskine og efterset mælkesug Tager længere tid at brygge kaffe end den til venstre ,Kommer ikke nok mælk i mælkedrikke Har rengjort maskine og efterset mælkesug Tager længere tid at brygge kaffe end den til venstre,Også sag på anden maskine Kunden har selv fået løst problemet med mælk Men synes at maskinen tager længere tid om at lave kaffe end den anden de har ,,Nej,Nej
WO046695,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ved valg af kaffe kommer der hver anden gang kun vand ud Ingen fejl på display ,Ved valg af kaffe kommer der hver anden gang kun vand ud Ingen fejl på display,,,Nej,Nej
WO046685,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vil ikke lave Flat White andre virker umiddelbart fint Ikke besøg fra 6 30 9 30 da de kører morgenmad ,Vil ikke lave Flat White andre virker umiddelbart fint Ikke besøg fra 630 930 da de kører morgenmad,,104818,Nej,Nej
WO046601,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved cappuccino giver den ofte slet ingen mælk Melder ingen fejl Giver altid mælk ved latte Kan eks tage 5 latter og så 5 cappuccino og så giver den ikke mælk til cappuccino igen ,Ved cappuccino giver den ofte slet ingen mælk Melder ingen fejl Giver altid mælk ved latteKan eks tage 5 latter og så 5 cappuccino og så giver den ikke mælk til cappuccino igen,ASA Jeg mailer STR om denne maskine da fejl er kommet flere gange ,126285R,Nej,Nej
WO046725,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen i Lobby tjek serienummer hun siger det er maskinen med ekstern køl Udlevere ikke noget som helst Viser at drikke laves ingen fejl vises på skærmen ,Maskinen i Lobby tjek serienummer hun siger det er maskinen med ekstern kølUdlevere ikke noget som helst Viser at drikke laves ingen fejl vises på skærmen,BCA Intern info er ikke faktureret da ny ejer lige har overtaget maskinen Den gamle serviceaftale er ikke krediteret dækker frem til 1 3 25 den nye er faktureret fra 1 9 24 ASA Indmelder kvinde taler fint engelsk tlf 24798308 jeg fik ikke fat i navnet  Jeg var ude på nedbrud på samme maskine eftermiddag forinden men ved jeg åbnede bønnebeholder kørte også 6 8 mælkedrikke ,,Ja,Nej
WO046686,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskinen er stadig utæt under rens ,Maskinen er stadig utæt under rens,Frank har noteret i 12 8 at hydralikmodul skal skiftes hvis den stadig var utæt ,126285R,Nej,Nej
WO046175,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Der er is i køleskabet og maskinen siger at mælken ikke er kold nok ,Der er is i køleskabet og maskinen siger at mælken ikke er kold nok,JW Mail sendt til Karina 15 8 24 ASA Knud Jensen faktura 55373 15 8 bedt NCB om at ringe til mig Vil høre om kunde skal faktureres eller ej ,,Ja,Ja
WO046703,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Meget gerne besøg snarest muligt da de har 200 til morgenmad i morgen tidligt Efter besøg i går virker mælken nu igen ikke ,Meget gerne besøg snarest muligt da de har 200 til morgenmad i morgen tidligt Efter besøg i går virker mælken nu igen ikke,,128896,Måske,Nej
WO046641,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,"indmeldt telefonisk 24798308 Maskinen vil ikke udlevere mælkedrikke ingen fejlbesked på skærmen andet end ""call attendant"" ","indmeldt telefonisk 24798308 Maskinen vil ikke udlevere mælkedrikke ingen fejlbesked på skærmen andet end ""call attendant""",,126326,Nej,Nej
WO046631,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kan ikke registrere rød rensenøgle kan se at der er noget knækket af ,Kan ikke registrere rød rensenøgle kan se at der er noget knækket af,,133555,Ja,Nej
WO046633,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskine beder om rengøring påkræves lige efter de har rengjort maskine Forsøgt med genstart ,Maskine beder om rengøring påkræves lige efter de har rengjort maskine Forsøgt med genstart,HKN det ser ud til i fejllog at dæksel til kakao modul er blevet åbnet under regøring ,,Måske,Nej
WO046576,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Er i havn tirsdag d 13 08 24 kl 08 00 9 30 Fejlsøge på mælkesystem giver ikke mælk STR har tjekket for mulige forstoppelser d 11 08 24 uden held Tror der skal ny mælkepumpe til den lyder træt ,Er i havn tirsdag d130824 kl0800930 Fejlsøge på mælkesystem giver ikke mælk STR har tjekket for mulige forstoppelser d110824 uden held Tror der skal ny mælkepumpe til den lyder træt,Kan ikke tyde serie nr på modulet ,126326,Nej,Nej
WO046591,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,BW4c i Rory Melder komponentfejl og skal hele tiden varme kogeren op ,BW4c i Rory Melder komponentfejl og skal hele tiden varme kogeren op,ASA Få gerne maskinerne nummereret så de kan melde hvilket maskine der er tale om VI kan ikke få dem til at aflæse serienummer på maskinerne ved nedbrud 12 8 24 TO Kan desværre ikke oprette en opgave på hyd modulet da tallene er utydelige ,120694;125393,Nej,Nej
WO046597,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Røde pind bag rensenøgle er knækket tab er sat forkert i rensenøgle ,Røde pind bag rensenøgle er knækket tab er sat forkert i rensenøgle,ASA Kunde skal betale Kode til tekniker Maskinen registrere ikke kafferensetabs Piston er knækket Se løsningsforslag i fejlkodedokumentet,133555,Ja,Ja
WO046552,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskinen er stadig utæt under rens efter besøg i går,Maskinen er stadig utæt under rens efter besøg i går,Hvis fejlen kommer igen skal hydralikmodul udskiftes ,,Måske,Nej
WO046598,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Mislyd når den hælder kogende vand og kaffe op ,Mislyd når den hælder kogende vand og kaffe op,Meldt ind til Kontra ,,Nej,Nej
WO046545,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kaffen smager dårligt De har samme kaffe og har renset maskine men kaffen smager stadig ikke godt ,Kaffen smager dårligt De har samme kaffe og har renset maskine men kaffen smager stadig ikke godt,,,Måske,Nej
WO046521,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Giver ikke nok mælkeskum,Giver ikke nok mælkeskum,,,Nej,Nej
WO046514,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Meget gerne besøg i dag hvis muligt Maskinen spytter vand ud ved siden af den De tænker det er fordi der er noget galt med kakaoen De har prøvet et par dage at løse problemet selv men uden held ,Meget gerne besøg i dag hvis muligt Maskinen spytter vand ud ved siden af den De tænker det er fordi der er noget galt med kakaoen De har prøvet et par dage at løse problemet selv men uden held,Delvis fakturering Spørg STR Løsning Fejlsøge på maskine kakaomodul helt klisteret ind med kakao Renset modul Beholder tud stoppet til Årsag til fejl Monteret kakaoskold i modul Motor for svag skiftet kakaomotor Renset mellemrum mellem kaffebeholder fyldt med bønner Gennemført påkrævet rengøring Testet og afprøvet maskine ok ,130307949;131816,Ja,Ja
WO046541,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kaffe knappen løber meget langsomt Alle andre kaffer er ok men denne tager flere minutter for hver kop ,Kaffeknappen løber meget langsomt Alle andre kaffer er ok men denne tager flere minutter for hver kop,,,Nej,Nej
WO046498,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Når de vælger kakao drik fosser der vand ud under maskinen Alle andre drikke virker maskinen ok ,Når de vælger kakaodrik fosser der vand ud under maskinen Alle andre drikke virker maskinen ok,HKN har ringet for at prøve at løse opgaven over telefon Mixermotor defekt kan høre den køre så køre den ikke under en udlevering ,134563;127732,Måske,Nej
WO046531,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Blinker i skærm ,Blinker i skærm,ASA Oprettet for AOK set ved besøg til anden maskine ,02816,Nej,Nej
WO046488,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Maskinen melder Fejl under rengøring og de kan ikke komme videre ,Maskinen melder Fejl under rengøring og de kan ikke komme videre,Obs husk at notere nye placerings betegnelse efter de har bygget om Maskine står på korrekt placering lobby TH ,,Måske,Nej
WO046519,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Sag 2 af 2 Oplever det på flere maskiner ved med sikkerhed at de oplever det på denne kan ikke huske hvilke andre maskiner de oplever det ved Skærmen blinker og ikoner forsvinder Sluk tænd er forsøgt ,Sag 2 af 2 Oplever det på flere maskiner ved med sikkerhed at de oplever det på denne kan ikke huske hvilke andre maskiner de oplever det vedSkærmen blinker og ikoner forsvinder Sluk tænd er forsøgt,ASA Hun siger at det ikke haster ,02816,Nej,Nej
WO046451,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskinen skriver Komponentfejl efter sidste besøg ,Maskinen skriver Komponentfejl efter sidste besøg,Hun er ikke imponeret over at efter hvert besøg opstår der et nyt problem med maskinen ,,Nej,Nej
WO046493,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Problem med afløbet Køleskab rimer til,Problem med afløbetKøleskab rimer til,ASA meldt ind af Lene fra Kontra 2 nedbrud og 1 filterskifte i alt ,,Måske,Nej
WO046457,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Stopper til i mixerskål for kakao Ved skyl af kakaoskål løber vand fint igennem Åbning til kakaobeholder sidder korrekt Halvmåne åbning er på øverste halvdel Blev tjekket da hun mistænkte at der falder for meget kakaopulver ned i mixerskålen ,Stopper til i mixerskål for kakao Ved skyl af kakaoskål løber vand fint igennem Åbning til kakaobeholder sidder korrekt Halvmåne åbning er på øverste halvdel Blev tjekket da hun mistænkte at der falder for meget kakaopulver ned i mixerskålen,ASA Hun mangler også den sorte spildbakkeplade Denne sendes fra Svenstrup i dag d 8 8 att Anitta ,131816,Måske,Nej
WO046464,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Maskinen leverer kun halv mælk ved mælkedrikke ,Maskinen leverer kun halv mælk ved mælkedrikke,,,Nej,Nej
WO046410,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Maskinen har helt død skærm efter ferien der er strøm til Se også WO046464 nedbrud på 5 sal,Maskinen har helt død skærm efter ferien der er strøm tilSe også WO046464 nedbrud på 5 sal,Se også WO046464 nedbrud på 5 sal,137823,Nej,Nej
WO046490,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Slange skiftes,Slange skiftes,,1449089,Nej,Nej
WO046432,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,indmeldt 72273601 utæt under rens ,indmeldt 72273601 utæt under rens,,,Nej,Nej
WO046470,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Væske løber ikke fra drypbakken Afløb går i kloak ikke i dunk spand ,Væske løber ikke fra drypbakken Afløb går i kloak ikke i dunk spand,,,Ja,Nej
WO046458,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskinen siger der ikke er mælk selvom der er masser af mælk De har renset ,Maskinen siger der ikke er mælk selvom der er masser af mælk De har renset,,128896,Måske,Nej
WO046446,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen flimrer i skærmen under udlevering ,Maskinen flimrer i skærmen under udlevering,har info kunden at vi kommer i løbet af et par dage det er ikke en haster de kan godt bruge maskinen Han håber det bliver inden weekenden dog ,,Nej,Nej
WO046444,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Samme issue som i lørdags Der er meget vand i grumseskuffen og maskinen slå strømmen ,Samme issue som i lørdags Der er meget vand i grumseskuffen og maskinen slå strømmen,,104818,Nej,Nej
WO046312,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen melder Vandflow fejl De har tjekket og kan ikke se der skulle være noget galt med vandtilførslen,Maskinen melder Vandflow fejl De har tjekket og kan ikke se der skulle være noget galt med vandtilførslen,,130307949;115953,Nej,Nej
WO046402,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Fra indmeldelse Vi har igen igen igen problemer med at kaffemaskinerne er utætte og løber med vand ned på gulvet Dette har været et gentagent problem det sidste år hvor i har været her en del gange Dette må kunne løses en gang for alle da det ødelægger både skab og gulv,Fra indmeldelse Vi har igen igen igen problemer med at kaffemaskinerne er utætte og løber med vand ned på gulvet Dette har været et gentagent problem det sidste år hvor i har været her en del gange Dette må kunne løses en gang for alle da det ødelægger både skab og gulv,ASA Sag 2 af 2 ,,Ja,Nej
WO046384,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Slår relæet mange gange om ugen Der er meget vand i grumsebakke Under drypbakke ser der ud til at være tør mælk ,Slår relæet mange gange om ugen Der er meget vand i grumsebakke Under drypbakke ser der ud til at være tør mælk,ASA 2 billeder fra kunden er i noten ,125778;125665;107286,Nej,Nej
WO046343,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ring inden besøg så de kan melde din ankomst til receptionen Taler engelsk Maskine drypper fra drypbakkes hjørne Der er ingen synlig skade defekt på drypbakke ,Ring inden besøg så de kan melde din ankomst til receptionen Taler engelsk Maskine drypper fra drypbakkes hjørne Der er ingen synlig skade defekt på drypbakke,Ring inden besøg så de kan melde din ankomst til receptionen Taler engelsk ,128710;125724;128720,Nej,Nej
WO046403,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ring evt inden hvis det kan løses over telefon Maskinen melder Vandflow fejl Måske der er nogle slanger der ikke sidder korrekt ,Ring evt inden hvis det kan løses over telefon Maskinen melder Vandflow fejl Måske der er nogle slanger der ikke sidder korrekt,,,Måske,Nej
WO046382,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Komponentfejl 32 Maskinen virker men kunden vil gerne have det tjekket De har genstartet og gennemført rens så forsvandt fejlen men nu er den kommet igen Rensenøgler sidder korrekt og grumseskuffen er ikke fuld ,Komponentfejl 32 Maskinen virker men kunden vil gerne have det tjekket De har genstartet og gennemført rens så forsvandt fejlen men nu er den kommet igen Rensenøgler sidder korrekt og grumseskuffen er ikke fuld,,125723;127140,Nej,Nej
WO046271,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen vil ikke lave kakao eller mælkedrikke som jeg forstod det kun kaffe De har tjekket at maskinen ikke er stoppet til ,Maskinen vil ikke lave kakao eller mælkedrikke som jeg forstod det kun kaffe De har tjekket at maskinen ikke er stoppet til,KUNDEN SKAL FAKT  Jeg har oplyst at vi er underbemandet så jeg ikke kan garantere hvornår vi kommer ,,Ja,Ja
WO046270,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Skærm er helt sort Kan udlevere kaffe hvis de rammer kaffe ikonet på skærmen Har prøvet tænd sluk uden det hjalp ,Skærm er helt sort Kan udlevere kaffe hvis de rammer kaffeikonet på skærmen Har prøvet tænd sluk uden det hjalp,Kode til tekniker Skærmen er gået i sort Se løsningsforslag i fejlkodedokumentet,137823,Nej,Nej
WO046366,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen vil ikke registrere rensenøgle og de kan derfor ikke rengøre maskinen,Maskinen vil ikke registrere rensenøgle og de kan derfor ikke rengøre maskinen,,133555,Ja,Ja
WO046365,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Efter besøg i går virker kaffen fint men maskinen lækker temmelig meget vand under rens ,Efter besøg i går virker kaffen fint men maskinen lækker temmelig meget vand under rens,HKN kunne ikke komme af med vand under rens i går i dag var der ingen problemer ,,Måske,Nej
WO046364,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Drypper under spildbakken ,Drypper under spildbakken,,,Måske,Nej
WO046363,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Sag 1 af 2 Ved rengøringspram trin 7 af 7 larmede den forleden I går var der ikke noget Her til morgen larmer den meget igen ved trin 7 af 7 Helle har video hun kan vise ,Sag 1 af 2 Ved rengøringspram trin 7 af 7 larmede den forleden I går var der ikke noget Her til morgen larmer den meget igen ved trin 7 af 7 Helle har video hun kan vise,,,Nej,Nej
WO046337,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Sag 1 af 2 Det sølv omkring maskinen er løs Ikke kun ved grumseskuffen men også ovenover Der kommer kaffebønner ud af den de ligger på bordet ,Sag 1 af 2 Det sølv omkring maskinen er løs Ikke kun ved grumseskuffen men også ovenoverDer kommer kaffebønner ud af den de ligger på bordet,,,Nej,Nej
