WO,Maskinkategori,Maskinbeskrivelse,Instruktion,Short_description,Teknikker_description,Reservedele,Kundefejl_mads,Faktureret
WO046904,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Gerne besøg efter kl10 Kakao flyder over inde i maskinen kaffen smager meget bittert og hver gang en gæst skal have en ny drik er den meget langsom og ligner den går ud mellem hver udlevering,Gerne besøg efter kl10 Kakao flyder over inde i maskinen kaffen smager meget bittert og hver gang en gæst skal have en ny drik er den meget langsom og ligner den går ud mellem hver udlevering,Gerne besøg efter kl10 Kakao flyder over inde i maskinen kaffen smager meget bittert og hver gang en gæst skal have en ny drik er den meget langsom og ligner den går ud mellem hver udlevering,131816;124748,Måske,Nej
WO046952,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Fejl på sd kort,Fejl på sd kort,Fejl på sd kort,,Nej,Nej
WO046864,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Larmer meget ved udlevering af kakao og kakao flyder over ved tragt Har haft tragt ude for at rengøre og beholder,Larmer meget ved udlevering af kakao og kakao flyder over ved tragt Har haft tragt ude for at rengøre og beholder,Larmer meget ved udlevering af kakao og kakao flyder over ved tragt Har haft tragt ude for at rengøre og beholder,,Ja,Nej
WO046912,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Maskinen doserer ikke korrekt Kaffen er ikke stærk nok i smag og ser også meget tynd ud i koppen,Maskinen doserer ikke korrekt Kaffen er ikke stærk nok i smag og ser også meget tynd ud i koppen,Maskinen doserer ikke korrekt Kaffen er ikke stærk nok i smag og ser også meget tynd ud i koppen,,Nej,Nej
WO046885,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Melder vandflowfejl Der er vand til maskinen,Melder vandflowfejl Der er vand til maskinen,Melder vandflowfejl Der er vand til maskinen,108082,Nej,Nej
WO046910,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Meget gerne i dag hvis muligt Der løber vand ud under maskinen ud over det hele De kan tr ikke lave kaffe på maskinen,Meget gerne i dag hvis muligt Der løber vand ud under maskinen ud over det hele De kan tr ikke lave kaffe på maskinen,Meget gerne i dag hvis muligt Der løber vand ud under maskinen ud over det hele De kan tr ikke lave kaffe på maskinen,126326;127140,Nej,Nej
WO046702,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskine er begyndt at larme meget i den sidste del af rengøringsprogram,Maskine er begyndt at larme meget i den sidste del af rengøringsprogram,Maskine er begyndt at larme meget i den sidste del af rengøringsprogram,131816,Måske,Nej
WO046661,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kontakt for aftale om besøg Drypper med vand under maskine bagtil Kommer løbene hele dagen,Kontakt for aftale om besøg Drypper med vand under maskine bagtil Kommer løbene hele dagen,Kontakt for aftale om besøg Drypper med vand under maskine bagtil Kommer løbene hele dagen,125665,Nej,Nej
WO046876,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer ingen kakao ud har forsøgt med rengøring samt kommer med mærkelig lyd Ved eks espresso stopper den halvvejs ved 50% udlevering,Kommer ingen kakao ud har forsøgt med rengøring samt kommer med mærkelig lyd Ved eks espresso stopper den halvvejs ved 50% udlevering,Kommer ingen kakao ud har forsøgt med rengøring samt kommer med mærkelig lyd Ved eks espresso stopper den halvvejs ved 50% udlevering,,Ja,Ja
WO046869,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,133555,Ja,Ja
WO046859,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskine vil ikke køre renseprogram færdigt,Maskine vil ikke køre renseprogram færdigt,Maskine vil ikke køre renseprogram færdigt,,Nej,Nej
WO046805,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Ønsker besøg hurtigtStopper i rengøring Melder piston error,Ønsker besøg hurtigtStopper i rengøring Melder piston error,Ønsker besøg hurtigtStopper i rengøring Melder piston error,,Nej,Nej
WO046871,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao flyder over og har haft tragt ude fro at rengøre,Kakao flyder over og har haft tragt ude fro at rengøre,Kakao flyder over og har haft tragt ude fro at rengøre,,Ja,Ja
WO046844,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,"indmeldt 20811853 der fosser vand ud af maskinen når den er tændt De har slukket for den indtil vi har været forbi Thermoplan connect har også registreret en ""Status manager error 9""Opdatering Kristinna har næsten gennemført rengøringsprogram Ved afslutning melder den at beholder i køleskab skal tages ud Den kommer ikke videre her fra","indmeldt 20811853 der fosser vand ud af maskinen når den er tændt De har slukket for den indtil vi har været forbi Thermoplan connect har også registreret en ""Status manager error 9""Opdatering Kristinna har næsten gennemført rengøringsprogram Ved afslutning melder den at beholder i køleskab skal tages ud Den kommer ikke videre her fra","indmeldt 20811853 der fosser vand ud af maskinen når den er tændt De har slukket for den indtil vi har været forbi Thermoplan connect har også registreret en ""Status manager error 9""Opdatering Kristinna har næsten gennemført rengøringsprogram Ved afslutning melder den at beholder i køleskab skal tages ud Den kommer ikke videre her fra",127140,Nej,Nej
WO046817,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Kaffe smager periodisk ikke godt af Blyant Har forsøgt med rens og udskiftning af bønner,Kaffe smager periodisk ikke godt af Blyant Har forsøgt med rens og udskiftning af bønner,Kaffe smager periodisk ikke godt af Blyant Har forsøgt med rens og udskiftning af bønner,104358,Måske,Nej
WO046857,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Lækker vand bagpå maskine Ligner det kom er fra rør har lukket for vandet,Lækker vand bagpå maskine Ligner det kom er fra rør har lukket for vandet,Lækker vand bagpå maskine Ligner det kom er fra rør har lukket for vandet,,Nej,Nej
WO046824,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Gerne besøg om formiddagen efter kl830 Under rens kommer der meget vand i grumsepanden og der er klumper i mælkedrikke Har rengjort mælkeslange flere gange men der ikke d til at blive ordenligt rent,Gerne besøg om formiddagen efter kl830 Under rens kommer der meget vand i grumsepanden og der er klumper i mælkedrikke Har rengjort mælkeslange flere gange men der ikke d til at blive ordenligt rent,Gerne besøg om formiddagen efter kl830 Under rens kommer der meget vand i grumsepanden og der er klumper i mælkedrikke Har rengjort mælkeslange flere gange men der ikke d til at blive ordenligt rent,104818,Nej,Nej
WO046753,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Lækker vand ud under maskine Ligner at slange er knækket af Muligvis afløbsslange til spildbakke,Lækker vand ud under maskine Ligner at slange er knækket af Muligvis afløbsslange til spildbakke,Lækker vand ud under maskine Ligner at slange er knækket af Muligvis afløbsslange til spildbakke,128896,Måske,Nej
WO046699,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer vand ud under maskine forrest venstre side Har haft spildbakke af og på men ligner ikke det er fra afløb af spildbakke,Kommer vand ud under maskine forrest venstre side Har haft spildbakke af og på men ligner ikke det er fra afløb af spildbakke,Kommer vand ud under maskine forrest venstre side Har haft spildbakke af og på men ligner ikke det er fra afløb af spildbakke,127140,Nej,Nej
WO046751,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Vil ikke registrere røde rensenøgle Pind ser knækket ud,Vil ikke registrere røde rensenøgle Pind ser knækket ud,Vil ikke registrere røde rensenøgle Pind ser knækket ud,133555,Ja,Ja
WO046668,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Lækker vand ud over det hele,Lækker vand ud over det hele,Lækker vand ud over det hele,126285R,Nej,Nej
WO046691,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Tages snarest muligt kritisk for kunden Maskinen slår stadigt sikringen og der er stadigt meget vand i grumseskuffen,Tages snarest muligt kritisk for kunden Maskinen slår stadigt sikringen og der er stadigt meget vand i grumseskuffen,Tages snarest muligt kritisk for kunden Maskinen slår stadigt sikringen og der er stadigt meget vand i grumseskuffen,,Nej,Nej
WO046746,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kommer ikke nok mælk i mælkedrikke Har rengjort maskine og efterset mælkesug Tager længere tid at brygge kaffe end den til venstre,Kommer ikke nok mælk i mælkedrikke Har rengjort maskine og efterset mælkesug Tager længere tid at brygge kaffe end den til venstre,Kommer ikke nok mælk i mælkedrikke Har rengjort maskine og efterset mælkesug Tager længere tid at brygge kaffe end den til venstre,,Nej,Nej
WO046695,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ved valg af kaffe kommer der hver anden gang kun vand ud Ingen fejl på display,Ved valg af kaffe kommer der hver anden gang kun vand ud Ingen fejl på display,Ved valg af kaffe kommer der hver anden gang kun vand ud Ingen fejl på display,,Nej,Nej
WO046685,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vil ikke lave Flat White andre virker umiddelbart fint Ikke besøg fra 630 930 da de kører morgenmad,Vil ikke lave Flat White andre virker umiddelbart fint Ikke besøg fra 630 930 da de kører morgenmad,Vil ikke lave Flat White andre virker umiddelbart fint Ikke besøg fra 630 930 da de kører morgenmad,104818,Nej,Nej
WO046601,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved cappuccino giver den ofte slet ingen mælk Melder ingen fejl Giver altid mælk ved latteKan eks tage 5 latter og så 5 cappuccino og så giver den ikke mælk til cappuccino igen,Ved cappuccino giver den ofte slet ingen mælk Melder ingen fejl Giver altid mælk ved latteKan eks tage 5 latter og så 5 cappuccino og så giver den ikke mælk til cappuccino igen,Ved cappuccino giver den ofte slet ingen mælk Melder ingen fejl Giver altid mælk ved latteKan eks tage 5 latter og så 5 cappuccino og så giver den ikke mælk til cappuccino igen,126285R,Nej,Nej
WO046725,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen i Lobby tjek serienummer hun siger det er maskinen med ekstern kølUdlevere ikke noget som helst Viser at drikke laves ingen fejl vises på skærmen,Maskinen i Lobby tjek serienummer hun siger det er maskinen med ekstern kølUdlevere ikke noget som helst Viser at drikke laves ingen fejl vises på skærmen,Maskinen i Lobby tjek serienummer hun siger det er maskinen med ekstern kølUdlevere ikke noget som helst Viser at drikke laves ingen fejl vises på skærmen,,Ja,Nej
WO046686,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskinen er stadig utæt under rens,Maskinen er stadig utæt under rens,Maskinen er stadig utæt under rens,126285R,Nej,Nej
WO046175,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Der er is i køleskabet og maskinen siger at mælken ikke er kold nok,Der er is i køleskabet og maskinen siger at mælken ikke er kold nok,Der er is i køleskabet og maskinen siger at mælken ikke er kold nok,,Ja,Ja
WO046703,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Meget gerne besøg snarest muligt da de har 200 til morgenmad i morgen tidligt Efter besøg i går virker mælken nu igen ikke,Meget gerne besøg snarest muligt da de har 200 til morgenmad i morgen tidligt Efter besøg i går virker mælken nu igen ikke,Meget gerne besøg snarest muligt da de har 200 til morgenmad i morgen tidligt Efter besøg i går virker mælken nu igen ikke,128896,Måske,Nej
WO046641,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,"indmeldt telefonisk 24798308 Maskinen vil ikke udlevere mælkedrikke ingen fejlbesked på skærmen andet end ""call attendant""","indmeldt telefonisk 24798308 Maskinen vil ikke udlevere mælkedrikke ingen fejlbesked på skærmen andet end ""call attendant""","indmeldt telefonisk 24798308 Maskinen vil ikke udlevere mælkedrikke ingen fejlbesked på skærmen andet end ""call attendant""",126326,Nej,Nej
WO046631,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kan ikke registrere rød rensenøgle kan se at der er noget knækket af,Kan ikke registrere rød rensenøgle kan se at der er noget knækket af,Kan ikke registrere rød rensenøgle kan se at der er noget knækket af,133555,Ja,Nej
WO046633,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskine beder om rengøring påkræves lige efter de har rengjort maskine Forsøgt med genstart,Maskine beder om rengøring påkræves lige efter de har rengjort maskine Forsøgt med genstart,Maskine beder om rengøring påkræves lige efter de har rengjort maskine Forsøgt med genstart,,Måske,Nej
WO046576,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Er i havn tirsdag d130824 kl0800930Fejlsøge på mælkesystem giver ikke mælkSTR har tjekket for mulige forstoppelser d110824 uden held Tror der skal ny mælkepumpe til den lyder træt,Er i havn tirsdag d130824 kl0800930Fejlsøge på mælkesystem giver ikke mælkSTR har tjekket for mulige forstoppelser d110824 uden held Tror der skal ny mælkepumpe til den lyder træt,Er i havn tirsdag d130824 kl0800930Fejlsøge på mælkesystem giver ikke mælkSTR har tjekket for mulige forstoppelser d110824 uden held Tror der skal ny mælkepumpe til den lyder træt,126326,Nej,Nej
WO046591,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,BW4c i RoryMelder komponentfejl og skal hele tiden varme kogeren op,BW4c i RoryMelder komponentfejl og skal hele tiden varme kogeren op,BW4c i RoryMelder komponentfejl og skal hele tiden varme kogeren op,120694;125393,Nej,Nej
WO046597,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Røde pind bag rensenøgle er knækket tab er sat forkert i rensenøgle,Røde pind bag rensenøgle er knækket tab er sat forkert i rensenøgle,Røde pind bag rensenøgle er knækket tab er sat forkert i rensenøgle,133555,Ja,Ja
WO046552,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskinen er stadig utæt under rens efter besøg i går,Maskinen er stadig utæt under rens efter besøg i går,Maskinen er stadig utæt under rens efter besøg i går,,Måske,Nej
WO046598,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Mislyd når den hælder kogende vand og kaffe op,Mislyd når den hælder kogende vand og kaffe op,Mislyd når den hælder kogende vand og kaffe op,,Nej,Nej
WO046545,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kaffen smager dårligt De har samme kaffe og har renset maskine men kaffen smager stadig ikke godt,Kaffen smager dårligt De har samme kaffe og har renset maskine men kaffen smager stadig ikke godt,Kaffen smager dårligt De har samme kaffe og har renset maskine men kaffen smager stadig ikke godt,,Måske,Nej
WO046521,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Giver ikke nok mælkeskum,Giver ikke nok mælkeskum,Giver ikke nok mælkeskum,,Nej,Nej
WO046514,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Meget gerne besøg i dag hvis muligt Maskinen spytter vand ud ved siden af den De tænker det er fordi der er noget galt med kakaoen De har prøvet et par dage at løse problemet selv men uden held,Meget gerne besøg i dag hvis muligt Maskinen spytter vand ud ved siden af den De tænker det er fordi der er noget galt med kakaoen De har prøvet et par dage at løse problemet selv men uden held,Meget gerne besøg i dag hvis muligt Maskinen spytter vand ud ved siden af den De tænker det er fordi der er noget galt med kakaoen De har prøvet et par dage at løse problemet selv men uden held,130307949;131816,Ja,Ja
WO046541,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kaffeknappen løber meget langsomt Alle andre kaffer er ok men denne tager flere minutter for hver kop,Kaffeknappen løber meget langsomt Alle andre kaffer er ok men denne tager flere minutter for hver kop,Kaffeknappen løber meget langsomt Alle andre kaffer er ok men denne tager flere minutter for hver kop,,Nej,Nej
WO046498,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Når de vælger kakaodrik fosser der vand ud under maskinen Alle andre drikke virker maskinen ok,Når de vælger kakaodrik fosser der vand ud under maskinen Alle andre drikke virker maskinen ok,Når de vælger kakaodrik fosser der vand ud under maskinen Alle andre drikke virker maskinen ok,134563;127732,Måske,Nej
WO046531,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Blinker i skærm,Blinker i skærm,Blinker i skærm,02816,Nej,Nej
WO046488,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Maskinen melder Fejl under rengøring og de kan ikke komme videre,Maskinen melder Fejl under rengøring og de kan ikke komme videre,Maskinen melder Fejl under rengøring og de kan ikke komme videre,,Måske,Nej
WO046519,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Sag 2 af 2 Oplever det på flere maskiner ved med sikkerhed at de oplever det på denne kan ikke huske hvilke andre maskiner de oplever det vedSkærmen blinker og ikoner forsvinder Sluk tænd er forsøgt,Sag 2 af 2 Oplever det på flere maskiner ved med sikkerhed at de oplever det på denne kan ikke huske hvilke andre maskiner de oplever det vedSkærmen blinker og ikoner forsvinder Sluk tænd er forsøgt,Sag 2 af 2 Oplever det på flere maskiner ved med sikkerhed at de oplever det på denne kan ikke huske hvilke andre maskiner de oplever det vedSkærmen blinker og ikoner forsvinder Sluk tænd er forsøgt,02816,Nej,Nej
WO046451,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskinen skriver Komponentfejl efter sidste besøg,Maskinen skriver Komponentfejl efter sidste besøg,Maskinen skriver Komponentfejl efter sidste besøg,,Nej,Nej
WO046493,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Problem med afløbetKøleskab rimer til,Problem med afløbetKøleskab rimer til,Problem med afløbetKøleskab rimer til,,Måske,Nej
WO046457,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Stopper til i mixerskål for kakao Ved skyl af kakaoskål løber vand fint igennem Åbning til kakaobeholder sidder korrekt Halvmåne åbning er på øverste halvdel Blev tjekket da hun mistænkte at der falder for meget kakaopulver ned i mixerskålen,Stopper til i mixerskål for kakao Ved skyl af kakaoskål løber vand fint igennem Åbning til kakaobeholder sidder korrekt Halvmåne åbning er på øverste halvdel Blev tjekket da hun mistænkte at der falder for meget kakaopulver ned i mixerskålen,Stopper til i mixerskål for kakao Ved skyl af kakaoskål løber vand fint igennem Åbning til kakaobeholder sidder korrekt Halvmåne åbning er på øverste halvdel Blev tjekket da hun mistænkte at der falder for meget kakaopulver ned i mixerskålen,131816,Måske,Nej
WO046464,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Maskinen leverer kun halv mælk ved mælkedrikke,Maskinen leverer kun halv mælk ved mælkedrikke,Maskinen leverer kun halv mælk ved mælkedrikke,,Nej,Nej
WO046410,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Maskinen har helt død skærm efter ferien der er strøm tilSe også WO046464 nedbrud på 5 sal,Maskinen har helt død skærm efter ferien der er strøm tilSe også WO046464 nedbrud på 5 sal,Maskinen har helt død skærm efter ferien der er strøm tilSe også WO046464 nedbrud på 5 sal,137823,Nej,Nej
WO046490,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Slange skiftes,Slange skiftes,Slange skiftes,1449089,Nej,Nej
WO046432,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,indmeldt 72273601 utæt under rens,indmeldt 72273601 utæt under rens,indmeldt 72273601 utæt under rens,,Nej,Nej
WO046470,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Væske løber ikke fra drypbakken Afløb går i kloak ikke i dunk spand,Væske løber ikke fra drypbakken Afløb går i kloak ikke i dunk spand,Væske løber ikke fra drypbakken Afløb går i kloak ikke i dunk spand,,Ja,Nej
WO046458,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskinen siger der ikke er mælk selvom der er masser af mælk De har renset,Maskinen siger der ikke er mælk selvom der er masser af mælk De har renset,Maskinen siger der ikke er mælk selvom der er masser af mælk De har renset,128896,Måske,Nej
WO046446,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen flimrer i skærmen under udlevering,Maskinen flimrer i skærmen under udlevering,Maskinen flimrer i skærmen under udlevering,,Nej,Nej
WO046444,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Samme issue som i lørdags Der er meget vand i grumseskuffen og maskinen slå strømmen,Samme issue som i lørdags Der er meget vand i grumseskuffen og maskinen slå strømmen,Samme issue som i lørdags Der er meget vand i grumseskuffen og maskinen slå strømmen,104818,Nej,Nej
WO046312,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen melder Vandflow fejl De har tjekket og kan ikke se der skulle være noget galt med vandtilførslen,Maskinen melder Vandflow fejl De har tjekket og kan ikke se der skulle være noget galt med vandtilførslen,Maskinen melder Vandflow fejl De har tjekket og kan ikke se der skulle være noget galt med vandtilførslen,130307949;115953,Nej,Nej
WO046402,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Fra indmeldelse Vi har igen igen igen problemer med at kaffemaskinerne er utætte og løber med vand ned på gulvet Dette har været et gentagent problem det sidste år hvor i har været her en del gange Dette må kunne løses en gang for alle da det ødelægger både skab og gulv,Fra indmeldelse Vi har igen igen igen problemer med at kaffemaskinerne er utætte og løber med vand ned på gulvet Dette har været et gentagent problem det sidste år hvor i har været her en del gange Dette må kunne løses en gang for alle da det ødelægger både skab og gulv,Fra indmeldelse Vi har igen igen igen problemer med at kaffemaskinerne er utætte og løber med vand ned på gulvet Dette har været et gentagent problem det sidste år hvor i har været her en del gange Dette må kunne løses en gang for alle da det ødelægger både skab og gulv,,Ja,Nej
WO046384,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Slår relæet mange gange om ugen Der er meget vand i grumsebakke Under drypbakke ser der ud til at være tør mælk,Slår relæet mange gange om ugen Der er meget vand i grumsebakke Under drypbakke ser der ud til at være tør mælk,Slår relæet mange gange om ugen Der er meget vand i grumsebakke Under drypbakke ser der ud til at være tør mælk,125778;125665;107286,Nej,Nej
WO046343,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ring inden besøg så de kan melde din ankomst til receptionen Taler engelskMaskine drypper fra drypbakkes hjørne Der er ingen synlig skade defekt på drypbakke,Ring inden besøg så de kan melde din ankomst til receptionen Taler engelskMaskine drypper fra drypbakkes hjørne Der er ingen synlig skade defekt på drypbakke,Ring inden besøg så de kan melde din ankomst til receptionen Taler engelskMaskine drypper fra drypbakkes hjørne Der er ingen synlig skade defekt på drypbakke,128710;125724;128720,Nej,Nej
WO046403,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ring evt inden hvis det kan løses over telefon Maskinen melder Vandflow fejl Måske der er nogle slanger der ikke sidder korrekt,Ring evt inden hvis det kan løses over telefon Maskinen melder Vandflow fejl Måske der er nogle slanger der ikke sidder korrekt,Ring evt inden hvis det kan løses over telefon Maskinen melder Vandflow fejl Måske der er nogle slanger der ikke sidder korrekt,,Måske,Nej
WO046382,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Komponentfejl 32 Maskinen virker men kunden vil gerne have det tjekket De har genstartet og gennemført rens så forsvandt fejlen men nu er den kommet igen Rensenøgler sidder korrekt og grumseskuffen er ikke fuld,Komponentfejl 32 Maskinen virker men kunden vil gerne have det tjekket De har genstartet og gennemført rens så forsvandt fejlen men nu er den kommet igen Rensenøgler sidder korrekt og grumseskuffen er ikke fuld,Komponentfejl 32 Maskinen virker men kunden vil gerne have det tjekket De har genstartet og gennemført rens så forsvandt fejlen men nu er den kommet igen Rensenøgler sidder korrekt og grumseskuffen er ikke fuld,125723;127140,Nej,Nej
WO046271,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen vil ikke lave kakao eller mælkedrikke som jeg forstod det kun kaffe De har tjekket at maskinen ikke er stoppet til,Maskinen vil ikke lave kakao eller mælkedrikke som jeg forstod det kun kaffe De har tjekket at maskinen ikke er stoppet til,Maskinen vil ikke lave kakao eller mælkedrikke som jeg forstod det kun kaffe De har tjekket at maskinen ikke er stoppet til,,Ja,Ja
